Grade 7 
Group A: Songs in a dramatic context 
A(i): Opera, operetta & oratorio 
	Key & range 	Composer 	Song  	Book 	Publisher & code 
Soprano 				
68  	E♭; c-e♭' 	 Sondheim 	(M) Johanna (Sweeney Todd) 	The Singer’s Musical Theatre Anthology vol. 1 (Tenor) 	Hal Leonard HL00361073 
69  	D♭; d'-a" 	 Sondheim 	(F) One More Kiss (Follies) 	The Singer’s Musical Theatre Anthology vol. 1 (Soprano) 	Hal Leonard HL00361071 
70  	F; c'-f"  	Sondheim 	Sand (Singing Out Loud) (solo version) 	Single edition (ebook) 	musicnotes.com/ sheetmusic/MN00 28423 
71  	B♭; b♭-e♭" 	 Sondheim 	(F) Take Me to the World (Evening Primrose) 	The Singer’s Musical Theatre Anthology vol. 2 (Soprano) 	Hal Leonard HL00747066 
72  	E; b-e"  	Sondheim 	(F) The Girls of Summer (Marry Me a Little) 	The Singer’s Musical Theatre Anthology vol. 3 (Soprano) 	Hal Leonard HL00740122 
73  	Am; g-b' 	 Sondheim 	(F) Uptown, Downtown (Follies) 	The Singer’s Musical Theatre Anthology vol. 3 (Mezzo-Soprano) 	Hal Leonard HL00740123 
74 	F; c'-f"  [E♭] 	Sondheim 	What More Do I Need? (Saturday Night) 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
75  	G; a♭-c"  	Tesori 	(F) Not for the Life of Me (Thoroughly Modern Millie) 	Thoroughly Modern Millie: Vocal Selections 	Hal Leonard HL02500565 
76  	F; c'-f"(a") 	 Weill 	It Never Was You (Knickerbocker Holiday) 	Kurt Weill Songs: A Centennial Anthology vol. 1 	Alfred PF9921 
77 	Dm; c'-e" [Cm] 	Wildhorn 	(F) In His Eyes (Jekyll & Hyde) 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
78 	A♭m; B♭-e♭' 	Wildhorn 	(M) Where’s the Girl? (The Scarlet Pimpernel) 	The Scarlet Pimpernel: Vocal Selections, Broadway Edition 	Alfred PF9806 
Group B: General song repertoire in English 
	Key & range 	Composer 	 Song  	Book 	Publisher & code 
79 	A♭; e♭'-a♭" [E♭] 	Adams 	The Heart of a Woman (Nightsongs) 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
80  	F; e'-g"/a" 	 Beach 	Fairy Lullaby 	First Solos: Songs by Women Composers vol. 1 (high voice) 	Hildegard 491-00510 
81 	F; d'-a"  [C] 	Bennett 	Jewels 	Jewels 	Recital RM285 
82  	D♭; d♭'-a♭" 	 Boyce 	(F) By Thy Banks, Gentle Stour 	Sing Solo: Soprano 	OUP 9780193457805 
83  	Am; b-e"  	Britten 	Tit for Tat 	Tit for Tat 	Faber 057150292X 
84  	A♭; e♭'-f"  	Delius 	The Homeward Way 	The Homeward Way 	Banks OSS590 
85  	Bm; d'-f#"  [Gm] 	Delius 	Twilight Fancies 	Twilight Fancies 	Banks OSS588 (high), OSS47 (low) 
86  	Fm; c'-c"  	Dowland 	Sorrow, Sorrow, Stay 	English Lute Songs book 2 	Stainer B617 
87  	D; d'-f#"  	Dring 	(F) Business Girls 	Five Betjeman Songs 	Weinberger M570052974 
88  	F; f'-f"  	Dring 	Crabbed Age and Youth 	Seven Shakespeare Songs 	Thames TH978390 
89  	Gm; d'-g"  	Dring 	The Enchantment 	Six Songs 	Thames TH978717 
90  	D; a#-d"  	Finzi 	Come Away, Death 	Let Us Garlands Bring 	Boosey M060030345 
91  	E; a-e"  	Finzi 	It Was a Lover and his Lass 	Let Us Garlands Bring 	Boosey M060030345 
92 	E♭;  g(e♭)-d'  	Flanders & Swann 	Ill Wind 	The Songs of Michael Flanders and Donald Swann 	Faber 0571529208 
93 	F#m;  c#'-f#" 	Gibbs, A 	Silver 	Silver 	Boosey M060030918 
94 	E♭m;  d♭'-g♭" 	Gibbs, A 	The Fields are Full 	A Heritage of 20th Century British Song vol. 4 	Boosey M051909230 
95 	d♭'-f" [b♭-d"] 	Gray 	Cloudy Days (Human Nature) 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
96  	Em; d'-e"  	Gurney 	I will Go with my Father A-ploughing 	A Heritage of 20th Century British Song vol. 1 	Boosey M051909117 
97  	Am; G-e'  	Handel 	(M) Droop Not Young Lover 	The New Imperial Edition of Bass Songs 	Boosey M051904501 
98  	B♭; b♭-e♭"  	Harty 	(F) Sea Wrack 	The New Imperial Edition of Contralto Songs 	Boosey M051904204 
